year,state_postcode,initiative,BOS_topic,BOS_summary,passed,notes
2005,ME,,FIN,taxes on waterfront property,1,"BOS 2006 text notes:Maine voters authorized
the legislature to reduce taxes on waterfront property
used for commercial fishing."
2005,NY,,FIN,budget,0,"BOS 2006 text notes:New
York voters handily defeated an amendment proposed
by the legislature that would have shifted a
significant amount of state budgeting power from the
governor to the legislature, by providing that in the
event of an executive-legislative deadlock the legislature
would gain the power to prepare a budget."
2005,OK,,FIN,taxes on gas,0,"BOS 2006 text notes:Oklahoma voters in September
rejected an initiative amendment that would
have increased gas and diesel taxes, earmarked this
revenue for highway and bridge construction, and
established a minimum level for annual state transportation
spending."
2005,OH,,DEBT,economic development package,1,"BOS 2006 text notes:In the only amendment to pass in
Ohio (out of five measures on the ballot), voters
approved a $2 billion economic development package
proposed by the legislature."
2005,TX,,DEBT,economic development not a debt,1,"BOS 2006 text notes:Texas voters
approved a number of policy amendments including
the creation of a rail relocation and improvement
fund,"
2005,TX,,DEBT,railroad relocation fund,1,"BOS 2006 text notes:Texas voters
approved a number of policy amendments including
the creation of a rail relocation and improvement
fund,"
2005,WV,,DEBT,bonds for pension fund,0,"BOS 2006 text notes:West Virginia voters in June
rejected an amendment that would have authorized
the issuance of $5.5 billion in bonds to finance the
state’s pension funds."
2005,NJ,,MISC,emission reducing equipment,1,
2005,TX,,MISC,interest rates for commercial loans,0,
2005,TX,,MISC,reverse mortgages,1,
2005,TX,,LOCAL,titles for land in two counties,1,
2006,AL,,BOR,SSM,1,
2006,AZ,,BOR,SSM failed,0,
2006,AZ,,BOR,bail limit on immigrants passed,1,
2006,AZ,,BOR,punitive damages for illegals passed/,1,
2006,CA,,BOR,Parental notification,0,
2006,CA,,BOR,eminent domain plus takings,0,
2006,CO,,BOR,SSM ban passed,1,
2006,CO,,BOR,competing domestic partnership act failed,0,
2006,FL,,BOR,Eminent domain,1,
2006,GA,,BOR,"Eminent domain and hunting and fishing (yes, this is in the BOR)",1,
2006,GA,,BOR,"Eminent domain and hunting and fishing (yes, this is in the BOR)",1,
2006,HI,,BOR,sex crimes standards,1,
2006,ID,,BOR,SSM,1,
2006,LA,,BOR,eminent domain and 2 related matters,1,
2006,LA,,BOR,eminent domain and 2 related matters,1,
2006,LA,,BOR,eminent domain and 2 related matters,1,
2006,MD,,BOR,jury trials in civil cases,1,
2006,MI,,BOR,Affirmative action/eminent domain,1,
2006,MI,,BOR,Affirmative action/eminent domain,1,
2006,NV,,BOR,eminent domain received its first of 2 required approvals (next in 2008),1,
2006,NH,,BOR,eminent domain,1,
2006,NM,,BOR,alien land law provision that was obsolete is removed,1,
2006,ND,,BOR,eminent domain,1,
2006,SC,,BOR,eminent domain/SSM,1,
2006,SC,,BOR,eminent domain/SSM,1,
2006,SD,,BOR,SSM,1,
2006,TN,,BOR,SSM,1,
2006,VA,,BOR,SSM,1,
2006,WI,,BOR,SSM,1,
2006,CO,,SUFF/ELECT,Change procedures relating to citizens' initiatives and referendums,0,BOS_subject coded by RWB from Ballotpedia
2006,CO,,SUFF/ELECT,Revise the deadlines for petitions for recalling elected officials and revise the requirements for a recall election,0,BOS_subject coded by RWB from Ballotpedia
2006,ME,,SUFF/ELECT,"Requires that indirect initiated state statute petitions be filed within 18 months of being approved for circulation by secretary of state	
Approved
See also",1,BOS_subject coded by RWB from Ballotpedia
2006,OK,,SUFF/ELECT,allowing for certain sales of alcohol on election day,1,
2006,OR,,SUFF/ELECT,limits on campaign contributions,0,
2006,RI,,SUFF/ELECT,felon voting rights,1,
2006,CO,,LEG,lobbying restrictions,1,
2006,NE,,LEG,pay raise,0,
2006,NV,,LEG,"pay for more days in session, and allow them to call special sess",0,
2006,NV,,LEG,"pay for more days in session, and allow them to call special sess",0,
2006,NH,,LEG,a change in the guidelines for redistricting the state legislature,1,
2006,OK,,LEG,"No paying legislators their salaries while in jail (this would apply to misdemeanors, as felons are kicked out of the legislature)",1,
2006,OR,,LEG,legislative term limits,0,
2006,SC,,LEG,,1,
2006,SC,,LEG,,1,
2006,SD,,LEG,,0,
2006,VA,,LEG,incorporation of churches,1,
2006,LA,,EXEC,LG vacancy elections,1,BOS_topic recoded from GOV by RWB
2006,CO,,JUD,judicial term limits,0,
2006,HI,,JUD,repeal mandatory judicial retirement age of 70,0,
2006,LA,,JUD,,1,
2006,LA,,JUD,,1,
2006,MD,,JUD,,1,
2006,OR,,JUD,,0,
2006,SD,,JUD,JAIL measure,0,
2006,CO,,LOCAL,,0,
2006,AL,,FIN,in Nov.,1,
2006,AZ,,FIN,local property tax limits,1,
2006,CA,,FIN,,1,
2006,CA,,FIN,,0,
2006,CA,,FIN,,0,
2006,CA,,FIN,,0,
2006,CA,,FIN,,0,
2006,CO,,FIN,,1,
2006,FL,,FIN,,1,
2006,FL,,FIN,,1,
2006,FL,,FIN,,1,
2006,FL,,FIN,,1,
2006,GA,,FIN,,1,
2006,ID,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,LA,,FIN,,1,
2006,MI,,FIN,,1,
2006,MN,,FIN,,1,
2006,MO,,FIN,,1,
2006,MO,,FIN,,1,
2006,MO,,FIN,,0,
2006,NE,,FIN,,1,
2006,NE,,FIN,,0,
2006,NE,,FIN,,0,
2006,NE,,FIN,,0,
2006,NE,,FIN,,0,
2006,NV,,FIN,education,1,
2006,NJ,,FIN,,1,
2006,NJ,,FIN,,1,
2006,NJ,,FIN,,1,
2006,NM,,FIN,,1,
2006,NM,,FIN,,1,
2006,OK,,FIN,,1,
2006,OK,,FIN,,1,
2006,OR,,FIN,,0,
2006,RI,,FIN,,1,
2006,SC,,FIN,,1,
2006,SD,,FIN,,0,
2006,TN,,FIN,,1,
2006,UT,,FIN,,1,
2006,VA,,FIN,,1,
2006,WA,,FIN,,1,
2006,WY,,FIN,,1,
2006,WY,,FIN,,1,
2006,WY,,FIN,,1,
2006,AZ,,DEBT,local debt,1,
2006,HI,,DEBT,state bonds,1,
2006,NE,,DEBT,,0,
2006,NM,,DEBT,,1,
2006,HI,,FUNCT,education,1,
2006,HI,,FUNCT,education,1,
2006,NV,,FUNCT,education,0,
2006,FL,,AMEND,60 percent requirement,1,
2006,AZ,,MISC,English language for official business,1,
2006,AZ,,MISC,State lands measures failed,0,
2006,AZ,,MISC,State lands measures failed,0,
2006,AR,,MISC,bingo,1,
2006,CO,,MISC,MW,1,
2006,CO,,MISC,,1,
2006,CO,,MISC,failed marijuana legalization,0,
2006,LA,,MISC,levee boards,1,
2006,MD,,MISC,prevent the public works board from selling park land,1,
2006,MO,,MISC,,1,
2006,MO,,MISC,Stem cell research,1,
2006,MT,,MISC,a name change of the state auditor,0,
2006,NE,,MISC,Allowing parolees to be supervised by non-judicial staff,1,
2006,NV ,,MISC,minimum wage,1,
2006,ND ,,MISC,,1,
2006,ND ,,MISC,,1,
2006,ND ,,MISC,,1,
2006,OH ,,MISC,minimum wage passed,1,
2006,OH ,,MISC,slot machines failed,0,
2006,OH ,,MISC,smoking measure sponsored by the tobacco companies failed,0,
2006,RI ,,MISC, casino,0,
2006,SC ,,MISC,,1,
2006,SC ,,MISC,,1,
2006,AL,,LOCAL,Voted onLOCALly in June,1,
2006,AL,,LOCAL,Voted onLOCALly in June,1,
2006,AL,,LOCAL,Voted onLOCALly in June,1,
2006,AL,,LOCAL,"Voted on statewide in Nov. (note that if a single legislators objects to submitting aLOCAL amendment only toLOCAL voters, it must be placed before the whole state, as happened here)",1,
2006,AL,,LOCAL,"Voted on statewide in Nov. (note that if a single legislators objects to submitting aLOCAL amendment only toLOCAL voters, it must be placed before the whole state, as happened here)",0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,1,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,1,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,1,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,AL,,LOCAL,Voted onLOCALly in Nov.,0,
2006,LA,,LOCAL,Voted on statewide in Nov. (note thatLOCAL amendments in LA need approval of both the state voters and the affectedLOCALity’s voters),1,
2006,LA,,LOCAL,Voted on statewide in Nov. (note thatLOCAL amendments in LA need approval of both the state voters and the affectedLOCALity’s voters),1,
2007,AL,0,LOCAL, Baldwin Co -- special district tax for hospital ,1,BOS_topic coded by RWB
2007,AL,0,LOCAL, Mobile Co  tax district for foreign trade investment ,1,BOS_topic coded by RWB
2007,AL,0,LOCAL, Shelby Co  traffic laws ,1,BOS_topic coded by RWB
2007,AL,0,FIN, capital improvement bonds ,1,BOS_topic coded by RWB
2007,AL,0,FIN, health care funds for retired state workers ,1,BOS_topic coded by RWB
2007,DE,0,JUD, regarding jurisdiction of the state supreme court ,1,BOS_topic coded by RWB
2007,DE,0,JUD, regarding the names of Associate Justices of the courts ,1,BOS_topic coded by RWB
2007,LA,0,FIN, Salary supplements for police-fire ,1,BOS_topic coded by RWB
2007,LA,0,FIN," Salary supplements for police-fire  would specifically apply to New Orleans workers, but that’s not in the language of the amendment ",1,BOS_topic coded by RWB
2007,LA,0,FIN, Retirement benefits for state workers ,1,BOS_topic coded by RWB
2007,LA,0,FIN, To grant a property tax exemption for consigned jewelry ,0,BOS_topic coded by RWB
2007,NJ,0,FIN, To dedicate 1 percent of sales tax to a property tax relief fund ,0,BOS_topic coded by RWB
2007,NJ,0,SUFF/ELECT, To delete outdated “idiot or insane” language from voting requirements and replace that with a ban on individuals who have been court-adjudicated to be incapable of understanding the act of voting ,1,BOS_topic coded by RWB
2007,NY,0,MISC, To make a minor change in the forest preserves provision regarding a certain water supply ,1,BOS_topic coded by RWB
2007,OR,0,FIN, Increase tobacco taxes for children’s health ,0,BOS_topic coded by RWB
2007,TX,0,FIN, Property tax relief for seniors and disabled  a correction to an unintentional oversight from a 2005 amendment ,1,BOS_topic coded by RWB
2007,TX,0,MISC, change governance of a state university ,1,BOS_topic coded by RWB
2007,TX,0,FIN, bonds for higher education loans ,1,BOS_topic coded by RWB
2007,TX,0,FIN, permitting the leg to set property-tax limits ,1,BOS_topic coded by RWB
2007,TX,0,FIN, bonds for construction projects ,1,BOS_topic coded by RWB
2007,TX,0,FIN, permitting the leg to allow small towns to offer tax breaks for economic development purposes ,1,BOS_topic coded by RWB
2007,TX,0,FIN, regarding property tax exemptions for business vehicles ,1,BOS_topic coded by RWB
2007,TX,0,BOR, a complicated eminent domain measure allowingLOCALities to sell back land to the previous owners ,1,BOS_topic coded by RWB
2007,TX,0,FIN, clarifying procedures related to home equity loans ,1,BOS_topic coded by RWB
2007,TX,0,FIN,State--permittingthelegislaturetogiveproperty-taxexemptionstoveterans,1,BOS_topic coded by RWB
2007,TX,0,MISC, abolish state office of inspector of hides and animals ,1,BOS_topic coded by RWB
2007,TX,0,LEG, Legislative procedures: require votes to be recorded and then made available on internet ,1,BOS_topic coded by RWB
2007,TX,0,FIN, bonds for highway improvement projects ,1,BOS_topic coded by RWB
2007,TX,0,MISC, authorizing denial of bail to family violence offenders ,1,BOS_topic coded by RWB
2007,TX,0,JUD, Judges: allowing them to serve out their mandatory-retirement term ,1,BOS_topic coded by RWB
2007,TX,0,FIN, bonds for a cancer research center ,1,BOS_topic coded by RWB
2007,TX,0,FIN, bonds for water development projects ,1,BOS_topic coded by RWB
2007,WA,0,LEG, Require the leg to dedicate 1% of general state revenues to a stabilization account -- ,1,BOS_topic coded by RWB
2007,WA,0,MISC, Permit inmate labor programs ,1,BOS_topic coded by RWB
2007,WA,0,FIN, To eliminate a supermajority requirement for raising school property taxes ,1,BOS_topic coded by RWB
2007,WA,0,FIN, Allow money in higher ed funds to be invested in stocks and bonds ,1,BOS_topic coded by RWB
2008,AL,0,FIN, Reestablishes education trust rainy day fund,1, Amendment 1-APPROVED 57-43
2008,AL,0,LOCAL, Shelby County judges,1, Amendment 2-APPROVED 60-40
2008,AL,0,LOCAL, Madison City school tax,1, Amendment 3-APPROVED 50.3-49.7
2008,AL,0,LOCAL, Blount County annexations,1, Amendment 4-APPROVED 57-43
2008,AL,0,LOCAL, Russell County court costs,0, Amendment 5-FAILED 45-55
2008,AL,0,LOCAL, Tuskegee City utility board,1, Amendment 6-APPROVED 58-42
2008,AR,1,FIN, Property sales taxes Prohibits new taxes on property sales,1, Prop 100-APPROVED 77-23
2008,AR,1,MISC, Prohibition of universal health care programs,0, Prop 101-FAILED 49
2008,AR,0,BOR, Same-sex marriage Bans same-sex marriage,1, Prop 102-APPROVED 56-44
2008,AR,1,SUFF/ELECT," Proposition approval Requires approval by majority of registered voters for new tax, fee, spending propositions. ",0, Prop 105-FAILED 34-66
2008,AR,0,SUFF/ELECT, Constitutional language Remove language referring to voting by “idiot or insane” persons.,1, Amendment 1-APPROVED 73-27
2008,AR,0,LEG, Legislative sessions Allows sessions in even-numbered years,1, Amendment 2-APPROVED 69-31
2008,AR,1,FIN," Lottery Authorizes state lottery, money going to education",1, Amendment 3-APPROVED 63-37
2008,CA,1,BOR, Abortion parental notification Requires parental notification and waiting period before minor can have abortion. ,0, Prop 4-FAILED 48-52
2008,CA,1,BOR, Victim rights Victims given input during trial process,1, Prop 9-APPROVED 53-47
2008,CA,1,LEG, Redistricting Establishes nonpartisan redistricting for state legislators,1, Prop 11- PASSING 51-49
2008,CO,0,BOR," Civil rights/affirmative action Prohibits government from discriminating or giving preferential treatment on the basis of race, sex, ethnicity, national origin. ",0, Amendment 46-FAILED 49-51
2008,CO,0,MISC, Right to work Prohibits requiring union membership /dues,0, Amendment 47-FAILED 44-56
2008,CO,0,BOR, Abortion Defines a “person” as a human being from the moment of fertilization,0, Amendment 48-FAILED 27-73
2008,CO,0,MISC, Union dues Prohibits deduction of dues from public worker paychecks,0, Amendment 49-FAILED 39-61
2008,CO,0,MISC, Casinos Allows three communities to extend hours,1, Amendment 50-APPROVED 59-41
2008,CO,0,FIN, Sales tax Increases tax 02% for people with developmental disabilities,0, Amendment 51-FAILED 38-62
2008,CO,0,FIN, Highways Dedicates portion of severance tax to highway projects,0, Amendment 52-FAILED 36-64
2008,CO,0,MISC, Campaign contributions Prohibits unions and persons doing business with state from contributing to campaigns. ,1, Amendment 54-APPROVED 51-49
2008,CO,0,FIN, Severance tax Increase oil and gas taxes,0, Amendment 58-FAILED 42-58
2008,CO,0,FIN, Budget windfalls Dedicates to education not tax rebates,0, Amendment 59-FAILED 45-55
2008,CO,1,LEG, Legislator age  Sets minimum age at 21 instead of 25 years,0, Referendum L-FAILED 46-54
2008,CO,1,MISC, Removes obsolete constitutional provisions regarding land value increases,1, Referendum M-APPROVED 62-38
2008,CO,1,MISC, Removes obsolete constitutional provisions regarding alcohol,1, Referendum N-APPROVED 69-31
2008,CO,1,AMEND," Initiative petitions Lowers signature requirement for statutes from 5% to 4%, increases requirement for constitutional amendments from 5% to 6%, requires geographic dispersion across congressional districts, limits amendment by legislature. ",0," Referendum O-FAILED 48-52, BOS_topic recoded by RWB from SUFF/ELECT"
2008,CT,,SUFF/ELECT, Voting Legislative amendment lowering voting age to 17 in primaries,1, Question 2-APPROVED 64-36
2008,FL,0,FIN," Property taxes Legislative measure that allows owners to maintain 3% assessment cap when they sell home, doubles homestead exemption",1, Amendment 1-APPROVED 64-36
2008,FL,0,MISC, Alien land ownership Prohibits restriction on land ownership by legal aliens,0, Amendment 1-FAILED 48-52
2008,FL,1,BOR, Marriage Bans same-sex marriage (requires 60%),1, Amendment 2-APPROVED 62-38
2008,FL, C ,FIN, Property taxes Exemption for wind resistance and renewable energy devices,1, Amendment 3-APPROVED 61-39
2008,FL, C ,FIN, Property taxes Exemption for conservation property,1, Amendment 4-APPROVED 69-31
2008,FL, C ,FIN, Assessment of waterfront property based on use,1, Amendment 6-APPROVED 71-29
2008,FL, C ,FIN,LOCAL sales tax Allows for community colleges with voter approval,0, Amendment 8-FAILED 44-56
2008,GA,0,FIN, Forest land Lower taxes for landowners conserving forest land,1, Amendment 1-APPROVED 68-32
2008,GA,0,DEBT, Tax allocation bonds AuthorizesLOCAL governments to issue,1, Amendment 2-APPROVED 52-48
2008,GA,0,LOCAL, Infrastructure development districts Allows creation withLOCAL approval,0, Amendment 3-FAILED 48-52
2008,HI,,EXEC, Governor/Lt Governor  Lowers minimum age from 30 to 25 years. ,0," Constitutional Amendment-FAILED 18-82, BOS_topic coded by RWB"
2008,IA,0,SUFF/ELECT, Voting rights Replaces constitutional language referring to “idiot and insane” persons. ,1, Amendment Question-APPROVED 82-18
2008,LA,0,MISC, Term limits Establishes three-term limits on public boards and commissions,1, Amendment 1-APPROVED 69-31
2008,LA,0,LEG, Extraordinary sessions Requires proclamation in advance of such sessions,1, Amendment 2-APPROVED 60-40
2008,LA,0,LEG, Temporary legislators Provides temporary replacements for legislators ordered to active military duty,1, Amendment 3-APPROVED 62-38
2008,LA,0,FIN, Severance taxes Increases share toLOCAL governments,0, Amendment 4-FAILED 45-55
2008,LA,0,FIN, Expropriated property Allows transfer of special assessment to replacement property. ,0, Amendment 5-FAILED 49.9-50.1
2008,LA,0,MISC, Blighted property Removes restrictions on disposition,0, Amendment 6-FAILED 49-51
2008,LA,0,FIN, Public retirement fund Permits equity investments,0, Amendment 7-FAILED 44-56
2008,MD,0,SUFF/ELECT, Absentee voting Allows absentee voting up to two weeks before elections,1, Question 1-APPROVED 72-28
2008,MD,0,MISC," Video lottery Allows 15,000 terminals in five locations",1, Question 2-APPROVED 59-41
2008,MI,1,MISC, Stem cell research Amendment removing restrictions,1, Proposal 2-APPROVED 53-47
2008,MN,0,FIN," Sales tax for environment Legislative measure that adds 3/8 of one percent to sales tax for clean water, natural areas, parks, and the arts. Approval requires majority of all ballots cast. ",1, Constitutional Amendment-APPROVED 56-44
2008,MO,0,MISC, English only Requires English at all governmental meetings,1, Amendment 1- APPROVED 86-14
2008,MO,0,MISC, Storm water funding Eases rules for state grant and loan program for storm water control. ,1, Amendment 4-APPROVED 58-42
2008,MT,0,FIN, Investment of public funds Allows 25% to be invested in equities,0, C-44-FAILED 26-74
2008,NE,0,FIN, Legislative measure that allows charter cities to invest public endowment funds in equities. ,1, Amendment 1-APPROVED 58-42
2008,NE,1,BOR," Civil rights/affirmative action Initiative amendment that prohibits government from discriminating or giving preferential treatment on the basis of race, sex, color, ethnicity, or national origin. ",1, Measure 424-APPROVED 58-42
2008,NE,0,FIN,LOCAL government revenue Legislative amendment that removes requirement for cities to use only general revenue for economic development programs. ,0, Amendment 1-FAILED 46-54
2008,NV,0,SUFF/ELECT, Voting rights Removes 6-month residence requirement to vote,0, Question 1-FAILED 47-53
2008,NV,1,BOR, Eminent domain Restricts use of eminent domain for private purposes at two consecutive elections required — this is the second vote. ,1, Question 2-APPROVED 61-39
2008,NV,0,FIN, Sales taxes Requires legislative findings before allowed,1, Question 3-APPROVED 60-40
2008,NJ,0,DEBT, Bond approval Requires voter approval for state agencies to issue bonds,1, Public Question 1-APPROVED 57-43
2008,NJ,0,LOCAL, Municipal judges Legislative constitutional amendment that allowsLOCAL governments to appoint judges to municipal courts. ,0, Public Question 2-FAILED 45-55
2008,NM,0,LOCAL, Salaries of county officials Allows midterm increases,0, Amendment 1-FAILED 26-74 
2008,NM,0,LOCAL," School boards Increases size, allows elections by mail",0," Amendment 2- -- PASSED 53-47 – BUT INVALIDATED (SC struck down on the ground of improper logrolling in the drafting process, even though it got 50 percent)  -- I SAY DON'T EVEN INCLUDE IT IN THE DATAFOR SUBMIIITTED ORAPPROVED-FAILED – BUT DO PUT INAFOOTNOTE"
2008,NM,0,EXEC, Cabinet Secretaries Requires confirmation at start of Governor’s term,1, Amendment 3-APPROVED 72-28
2008,NM,0,LOCAL, School elections Allows at same time as nonpartisan elections,0," Amendment 4-FAILED 74-26 (did not get supermajorities in each county,As required byArt"
2008,NM,0,EXEC, Lt Governor Authorizes Governor to fill vacancy,, Amendment 5-
2008,NY,0,MISC, Civil service exams Legislative amendment that makes technical change in condition allowing veterans advantage in exam,1, Proposal 1-APPROVED 77-23
2008,ND,0,LEG, Legislative proposal to remove prohibition on appointing legislator to office when salary of office has increased during his or her term. ,0, Constitutional Measure 1-FAILED 42-58
2008,ND,0,FIN, Oil Tax Trust Fund Requires excess revenue to be deposited in fund,0, Constitutional Measure 1-FAILED 36-64
2008,OH,0,SUFF/ELECT, Initiative petitions Constitutional amendment requiring earlier submission of petitions,1, Issue 1-APPROVED 69-31
2008,OH,0,DEBT, $400 million bonds for conservation and open spaces,1, Issue 2-APPROVED 69-31
2008,OH,0,BOR, Property on Great Lakes Constitutional amendment that protects property rights of land owners subject to the Great Lakes Water Compact. ,1, Issue 3-APPROVED 72-28
2008,OH,1,MISC, Casino Allows a privately owned casino in southwest Ohio,0, Issue 6-FAILED 37-63
2008,OK,0,FIN, Property tax exemption for disabled veterans,1, State Question 735-APPROVED 85-15
2008,OK,0,FIN, Property taxes Prohibits retroactive filing for exemptions,1, State Question 741-APPROVED 68-32
2008,OK,0,BOR, Establishes a right to hunt and fish,1, State Question 742-APPROVED 80-20
2008,OK,0,MISC, Wine Allows small wine makers to sell directly to package retailers and restaurants,1, State Question 743-APPROVED 79-21
2008,OR,0,BOR, Empowers crime victims to enforce Section 42 rights,1, Measure 51-APPROVED 75-25
2008,OR,0,BOR, Empowers crime victims to enforce their Section 43 rights,1, Measure 52-APPROVED 75-25
2008,OR,0,MISC, Allows forfeiture of property for certain crimes,1, Measure 53-APPROVED 50.1-49.9
2008,OR,0,SUFF/ELECT, Voting Allows under-21 to vote in school board elections,1, Measure 54-APPROVED 73-27
2008,OR,0,FIN, Property tax elections Removes requirement that 50% of registered voters cast ballots for measure to pass inLOCAL property tax elections. ,1, Measure 56-APPROVED 57-43
2008,OR,1,FIN, Dedicates 15% of lottery revenue to crime prevention,0, Measure 62-FAILED 39-61
2008,SC,0,MISC, Age of consent Deletes provision that unmarried women younger than 14 may consent to have sex. ,1, Amendment 1-APPROVED 52-48
2008,SC,0,FIN, Pension fund investments Allows state and teacher funds to invest in equities,0, Amendment 2-FAILED 42-58
2008,SC,0,FIN, Pension fund investments AllowsLOCAL government funds to invest in equities,0, Amendment 3-FAILED 44-56
2008,SD,0,LEG, Legislator travel expenses Increases reimbursements,0, Amendment G-FAILED 41-59
2008,SD,0,MISC, Corporations Removes restrictions on stocks and bonds,0, Amendment H-FAILED 31-69
2008,SD,0,LEG, Legislature sessions Allows 40-day vs  35-day sessions in odd-numbered years.,1, Amendment I-APPROVED 52-48
2008,SD,0,LEG, Term limits Repeals legislative term limits,0, Amendment J-FAILED 24-76
2008,UT,0,EXEC, Gubernatorial succession Establishes procedures for Gov and LT Gov,1, Amendment 1-APPROVED 76-24
2008,UT,0,FIN, State trust fund Provides that fund includes all money and asset of fund,1, Amendment 2-APPROVED 66-34
2008,UT,0,LEG, Legislative sessions Changes first day of session to one week later,1, Amendment 3-APPROVED 71-29
2008,UT,0,LEG, Redistricting Requires redistricting after Census count,1, Amendment 4-APPROVED 78-22
2008,UT,0,FIN, Allows state to invest in stocks and bonds,0, Amendment 5-FAILED 43-57
2008,WI,0,EXEC, Executive veto Legislative measure that prohibits governor from using partial veto to create one sentence from multiple sentences,1, Question 1-APPROVED 71-29
2008,WY,0,MISC, Oath of office Updates,1, Constitutional Amendment A-APPROVED 82-18
